id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0001/0010/0100/1000	2	scalar-permutation	1243:2-1-1;1432:2-1-1;2134:2-1-1;2413:4;3142:4;3214:2-1-1
2	0001/0010/0111/1011	3	two-support	1234:1-1-1-1;1432:2-1-1;2143:2-2;2413:4;3142:4;3214:2-1-1
3	0001/0010/1000/0100	3	scalar-permutation	1234:1-1-1-1;1423:3-1;2143:2-2;2431:3-1;3124:3-1;3241:3-1
4	0001/0010/1011/0111	2	two-support	1243:2-1-1;1423:3-1;2134:2-1-1;2431:3-1;3124:3-1;3241:3-1
5	0001/0100/0010/1000	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2314:3-1;3124:3-1;3412:2-2
6	0001/0100/0111/1101	2	two-support	1324:2-1-1;1423:3-1;2143:2-2;2314:3-1;3142:4;3412:2-2
7	0001/0100/1000/0010	2	scalar-permutation	1324:2-1-1;1432:2-1-1;2134:2-1-1;2341:4;3142:4;3421:4
8	0001/0100/1101/0111	2	two-support	1342:3-1;1432:2-1-1;2134:2-1-1;2341:4;3124:3-1;3421:4
9	0001/0111/0010/1011	2	two-support	1324:2-1-1;1342:3-1;2143:2-2;2413:4;3124:3-1;3412:2-2
10	0001/0111/0100/1101	3	two-support	1234:1-1-1-1;1243:2-1-1;2134:2-1-1;2413:4;3142:4;3412:2-2
11	0001/0111/1011/0010	2	two-support	1324:2-1-1;1342:3-1;2134:2-1-1;2431:3-1;3142:4;3421:4
12	0001/0111/1101/0100	3	two-support	1234:1-1-1-1;1243:2-1-1;2143:2-2;2431:3-1;3124:3-1;3421:4
13	0001/1000/0010/0100	2	scalar-permutation	1243:2-1-1;1324:2-1-1;2341:4;2413:4;3214:2-1-1;3421:4
14	0001/1000/0100/0010	3	scalar-permutation	1234:1-1-1-1;1342:3-1;2314:3-1;2431:3-1;3241:3-1;3412:2-2
15	0001/1000/1011/1101	2	two-support	1243:2-1-1;1324:2-1-1;2314:3-1;2413:4;3241:3-1;3421:4
16	0001/1000/1101/1011	3	two-support	1234:1-1-1-1;1342:3-1;2341:4;2431:3-1;3214:2-1-1;3412:2-2
17	0001/1011/0010/0111	2	two-support	1243:2-1-1;1423:3-1;2314:3-1;2341:4;3214:2-1-1;3421:4
18	0001/1011/0111/0010	3	two-support	1234:1-1-1-1;1432:2-1-1;2314:3-1;2341:4;3241:3-1;3412:2-2
19	0001/1011/1000/1101	3	two-support	1234:1-1-1-1;1423:3-1;2134:2-1-1;2143:2-2;3241:3-1;3421:4
20	0001/1011/1101/1000	2	two-support	1243:2-1-1;1432:2-1-1;2134:2-1-1;2143:2-2;3214:2-1-1;3412:2-2
21	0001/1101/0100/0111	2	two-support	1342:3-1;1432:2-1-1;2314:3-1;2431:3-1;3214:2-1-1;3241:3-1
