id	matrix_rows	rank_A_minus_I	full_symmetry_family	good_permutations_and_cycle_types
1	0001/1102/2011/1000	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
2	0010/0100/1000/0001	1	scalar-permutation	1342:3-1;1423:3-1;2143:2-2;2431:3-1;4132:3-1;4321:2-2
3	0100/1000/2110/1201	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
4	0121/0100/0010/1210	1	two-support	1342:3-1;1423:3-1;2314:3-1;2413:4;3124:3-1;3142:4
5	0121/1012/0010/0001	1	two-support	1342:3-1;1423:3-1;3241:3-1;3421:4;4213:3-1;4312:4
6	1000/0100/0001/0010	1	scalar-permutation	2314:3-1;2431:3-1;3124:3-1;3412:2-2;4132:3-1;4321:2-2
7	1000/0100/0010/0001	0	scalar-permutation	2341:4;2413:4;3142:4;3421:4;4123:4;4312:4
8	1000/0100/1210/2101	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
9	1000/0100/2101/1210	1	two-support	2314:3-1;2431:3-1;3124:3-1;3421:4;4132:3-1;4312:4
10	1000/1102/2011/0001	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
11	1000/2011/0010/1120	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
12	1000/2011/1102/0001	1	two-support	2413:4;2431:3-1;3142:4;3241:3-1;4132:3-1;4213:3-1
13	1000/2110/0010/1021	1	two-support	2143:2-2;2413:4;3142:4;3421:4;4312:4;4321:2-2
14	1021/0112/0010/0001	1	two-support	2341:4;2413:4;3142:4;3412:2-2;4123:4;4321:2-2
15	1120/0100/0010/0211	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
16	1201/0001/0112/0100	1	two-support	2314:3-1;2341:4;3124:3-1;3241:3-1;4123:4;4213:3-1
17	1210/0100/0010/0121	1	two-support	2143:2-2;2341:4;3412:2-2;3421:4;4123:4;4312:4
